title,content,date,channel_name
Яндекс раскрыл сумму сделки от продажи Дзена VK,"В сентябре 2022-го Яндекс и VK обменялись активами Дзен и Новости перешли VK, а Яндексу досталась служба доставки еды Delivery Club. Компания указала, что от продажи Дзена получила 38 млрд руб. Яндекс решил продолжить развитие бренда Delivery Club на единой технологической платформе с Яндекс.Едой. VK сообщил, что получил права на технологии и айдентику Дзена и Новостей. Бизнес сегодня",2023-05-10,businesstodayy
Как получать доп доход?,"Создать доп доход на инвестициях проще чем кажется, ведь для этого есть практикум Фабрика инвесторов. Практикум это 7 бесплатных уроков по которым каждый сможет стать инвестором. Без пустых обещаний и розовых очков. Только чёткие инструкции, практические действия и реальный результат. Уроки простые и понятные. Студенты, пенсионеры и молодые мамы легко справляются. Подробнее Автор Виталий Кошин к.э.н., в инвестициях 17 лет, а с 2015 года года живет на пассивный доход и учит прибыльно инвестировать. За 7 дней практикума откроете брокерский счёт составите финансовый план купите облигации и акции поймете как не терять деньги в инвестициях получить первый доход от вложений В подарок доступ к веб-сервису RADAR. С ним и новичок находит прибыльные акции и облигации за 15 минут. Аналогов нет. Пост только на 24 часа. Если не зарегистрировались, то подпишитесь на канал, чтобы не потерять подписаться про",2023-05-10,businesstodayy
Яндекс.Доставка расширила географию работы сервиса до 400 городов России,"Сервис междугородней доставки начал работать в Новосибирске, Омске, Томске, Красноярске, Кемерове, Нижнем Тагиле и других городах и населенных пунктах. Жителям Москвы, Московской области, Санкт-Петербурга и Ленинградской области теперь также доступны новые форматы посылок сервис можно использовать не только для отправки небольших предметов, но и для доставки документов и посылок весом до 20 кг. Чтобы отправить посылку в другой город, нужно оформить доставку в приложении и отнести груз в ближайший пункт выдачи заказов ПВЗ Яндекс.Маркета. Число ПВЗ, из которых можно отправить посылку, с января также выросло в 3 раза, до 6 тыс. Получать посылки теперь можно в 12 тыс. ПВЗ. Бизнес сегодня",2023-05-10,businesstodayy
Прибыль госкомпаний в 2022 году сократилась более чем вдвое,"В 2022 году прибыль компаний с государственным участием сократилась на 52% по сравнению с 2021 годом и составила 2,136 трлн рублей. Речь идет о сальдированном финансовом результате прибыль минус убыток акционерных обществ, находящихся в федеральной собственности более 25% акций принадлежат Федерации. В их число входят Сбербанк, Газпром, РЖД, Россети, ВТБ, Аэрофлот и другие. Вместе с тем, по данным Росстата, крупные и средние организации, в том числе и госкомпании, но без госучреждений, потеряли в 2022 году до 12,6% прибыли из-за влияния санкций. Так, по итогам года она составила 25,93 трлн рублей. Госкомпании преобладают в таких отраслях, как железные дороги, ТЭК и банковский сектор, поясняет эксперт. Это сферы с циклическим характером с повышением цен на нефть растет и доля госсобственности в ВВП.Если рост получат секторы с меньшим присутствием государства, то и его доля будет снижаться. Бизнес сегодня",2023-05-10,businesstodayy
Мосбиржа запустит торги фьючерсами на армянский драм и казахстанский тенге,"Торги фьючерсными контрактами на валютные пары российский рубль казахстанский тенге и российский рубль армянский драм начнутся 11 мая. Один торговый лот будут составлять 10 тыс. тенге или 10 тыс. драмов. Стоимость минимального шага цены 1 рубль для обеих валютных пар. Новыми инструментами инвестирования смогут воспользоваться физические и юридические лица. Участникам рынка будут доступны контракты с исполнением в июне, сентябре, декабре текущего года и в марте следующего года. Бизнес сегодня",2023-05-10,businesstodayy
В РФ к концу 2023 года появится платформа для бесплатного изучения блокчейна,"Сейчас пилотный проект тестируется в одном из московских вузов.Об этомсообщили в пресс-службе платформы Национальной технологической инициативы. На платформе уже есть инструменты по технологиям распределенного реестра, в дальнейшем добавят контент по машинному обучению, искусственному интеллекту AI, анализу данных, интернету вещей IoT и т. д. Для обычных пользователей доступ к контенту бесплатный, также будет доступна платная расширенная подписка, говорится в сообщении. Проектуже заинтересовал университеты изСанкт-ПетербургаиНовосибирска. Бизнес сегодня",2023-05-11,businesstodayy
52 миллиона за сутки заработал Аяз на ТГ канале,"В это время 98% людей в РФ зарабатывают 11 миллионов за 30 лет. При виде таких цифр, хочется заорать - Понятно, он то миллиардер, свистнул раз, ему денег и прислали - Ну и чё мне с этого? Нам до таких денег, как до Китая на карачках Ребят, хорош. В телеграм не надо быть гением, чтобы заработать годовую ЗП за месяц. Всё делается по схеме, она уже давно известна. Мои ученики на каналах со 118 подписчиками делают по 400-900 тысяч рублей. Чтобы вы не сомневались. Я прямо сейчас провожу реалити-шоу. Взял девушку из глубинки. Она за 45 дней заработает в телеграм с 0. Без подписчиков. Без денег на рекламу. Без опыта. Вы сможете по шагам скопировать схему заработка в ТГ и заработать первые деньги вместе с ней. Залетай в канал по ссылке В канале уже выложили _мини-курс_, как зарабатывать сотни тысяч в телеграм. Там все по шагам от создания канала и первых постов, до денег на карту. Заходи и изучай. пром",2023-05-11,businesstodayy
DoDo Brands запустила бесплатное мобильное приложение для создания цифрового меню для ресторанов,"В него нужно внести информацию о заведении, добавить позиции, их описание и фотографии приложение сгенерирует QR-код, который приведет на сайт с меню. Базовый функционал приложения Menusa никогда не станет платным, подчеркнул основатель DoDo Brands. Федор Овчинников допустил, что в перспективе создаваемое меню может стать интерактивным, в нем появится возможность создавать акции, специальные предложения и собирать отзывы гостей. Бизнес сегодня",2023-05-11,businesstodayy
Wildberries раскрыл нелегальную схему продвижения товаров,"Маркетплейс Wildberries раскрыл нелегальные способы продвижения через внешние сервисы, а также оценил ущерб от таких методов в 650 млн рублей. Отмечается, что компания подала заявление в правоохранительные органы для возбуждения уголовного дела о мошенничестве в особо крупном размере. По предварительным данным, размер ущерба составляет около 650 млн руб. Точная сумма будет установлена в ходе следственных действий, говорится в сообщении маркетплейса. Схема нелегального продвижения осуществлялась через бота в Telegram. Продавцы настраивали рекламные кампании на платформе, но не платили за них. По данным службы безопасности площадки, таким методом продвижения воспользовались порядка 300 человек. Они все должны заплатить полную стоимость за размещение рекламы. Бизнес сегодня",2023-05-11,businesstodayy
В России заработал европейский сервис для работы с фрилансерами Pay Assistant,"Сервис помогает автоматизировать документооборот, ставить задачи фрилансерам, проводить онбординг и управлять платежами. Pay Assistant работает с многими платежными системами, в том числе VISA, Mastercard, Qiwi, что делает вывод средств для фрилансеров беспроблемным. Уже сейчас мы можем отметить, что за время работы платформы выполнено более 1 тыс. задач. По нашим наблюдениям, чаще всего с фрилансерами сотрудничают компании из сферы ИТ 60% от клиентов, рекламы 35% и ритейла 5%, сообщил руководитель российского представительства Pay Assistant Иван Ечмаев. Бизнес сегодня",2023-05-11,businesstodayy
Илон Маск покинет пост гендиректора Twitter через шесть недель,"Владелец Twitter Илон Маск сообщил об уходе с поста гендиректора Twitter примерно через шесть недель. Новой главой сервиса микроблогов станет неназванная предпринимателем женщина. Сам миллиардер займёт посты исполнительного председателя и технического директора. Источники WSJсообщили, что его сменит глава рекламного департамента NBCUniversal Линда Яккарино фигура с крепкой хваткой из высших эшелонов рынка. Сотрудники полагают, что есть еще кандидат действующая работница Twitter, занимающаяся безопасностью Элла Ирвин. Владельцем компании Илон Маск стал в 2022 году, купив ее за $44 млрд.Возглавив Twitter, Маск провел многочисленные реформы от увольнения существенной части коллектива до разработки концепции Twitter 2.0 и идей создания финансовых инструментов внутри соцсети. В интервью BBC бизнесмен сравнил управление соцсетью с катанием на американских горках. Twitter-аккаунт владельца соцсети Илона Маска стал самым читаемым в мире. Бизнес сегодня",2023-05-12,businesstodayy
Wildberries списал у продавцов около 2 млрд рублей за рекламные услуги,"Wildberries сегодня ночью списал у продавцов около 2 млрд рублей за рекламные услуги, сообщила адвокат поставщиков маркетплейса. У офиса маркетплейса в Москве не утихает митинг, на место приехала полиция. Ранее Wildberries объявил о раскрытии нелегальной схемы продвижения товаров на площадке через Telegram, ущерб от которой оценил в 650 млн рублей. Адвокат отметила, что контрактов на такие рекламные услуги с маркетплейсом не заключалось. Представитель Wildberries сообщил, что у них все в порядке, общаются с продавцами. Бизнес сегодня",2023-05-12,businesstodayy
Яндекс.Маркет с 1 июня переведет на потоварный расчет все пункты выдачи заказов,"Яндекс.Маркет с 1 июня 2023 года переведет на потоварный расчет все брендированные пункты выдачи заказов ПВЗ, кроме пунктов Легкий старт. Маркет вводит изменения постепенно. Ранее площадка сообщила, что вводит фиксированную плоскую ставку 5% от объема выданных заказов и потоварный расчет только для ПВЗ, открытых 11 апреля 2023 года и позднее. Маркетплейс объяснил нововведение необходимостью соблюсти баланс интересов владельцев новых и действующих точек. С 1 июня 2023 года мы будем использовать потоварный расчет для всех остальных брендированных пунктов это не коснется только ПВЗ Легкий старт . Теперь в формуле итогового вознаграждения объем заказов будет определяться потоварно, все остальное в оферте останется прежним, говорится в сообщении маркетплейса. Онлайн-площадка также сообщила, что будет вводить потоварный расчет и для других процессов в ПВЗ. Бизнес сегодня",2023-05-12,businesstodayy
Прошла премия Tech Awards-2023 команда Сбера взяла сразу шесть наград за свои сервисы.,"Гран-при удалось получить в номинациях Инновационная компания года, Технологическая трансформация года, Платформа года, Прорывная технология года, Лучшая программа подготовки кадров в области технологий и Продукт года им стал проект Цифровизация сервисов урегулирования проблемной задолженности клиентов банка физических лиц в СберБанк Онлайн. Поздравляем команду Сбера, но шесть не все, так что еще есть куда расти.",2023-05-10,exploitex
Netflix снимает мини-сериал о жизни Арнольда Шварценеггера документальный фильм Арнольд выйдет 7 июня.,"Кино расскажет о непростом детстве и юношестве Шварца, о том, какой ценой ему дался переезд в США, где он стал большой звездой кино, а затем и губернатором штата Калифорния. Ждем полноценный трейлер, а пока любуемся постером.",2023-05-10,exploitex
"Сережа и микрофон Самолет Сергей Мезенцев посетил офис Самолета и узнал у сотрудников, как проходят их рабочие будни.","В неформальной обстановке ребята охотно рассказали про все нюансы работы, бонусы, боссов и тусовки в нерабочее время. Посмотреть ролик можно на Карьерном портале компании по ссылке. Кстати, там же можно найти и все доступные вакансии.",2023-05-10,exploitex
Топ за свои деньги лучшая камера за свою цену Pixel 7a показали на Google I/O 23.,"Смартфон в конфигурации 8/128 получил 90-герцевый дисплей диагональю 6,1 дюйма, SoC Tensor G2, новую 64-мегапиксельную основную камеру и новую 13-мегапиксельную сверхширокоугольную, а также аккумулятор емкостью 4600 мА/ч. Продажи стартуют уже сегодня, стоимость 499 долларов.",2023-05-10,exploitex
Складной Pixel Fold оказался не шуткой новинку презентовали на все той же I/O 2023.,"Экраны OLED 120 Гц, 12/256-512 Гб памяти, 8-ядерный процессор Google Tensor G2 и пять фирменных камер. Цена стартует от 1799 долларов 140 000 рублей, предзаказы стартуют 30 мая, всем предзаказавшим подарят часы Pixel Watch.",2023-05-10,exploitex
Главная тема дня айтишник взломал алгоритмы Wildberries и нанес ущерба на 654 млн рублей.,"В чем соль хакер, работающий на компанию, нашел уязвимости в системе продвижения и начал предлагать магазинам ею воспользоваться, даже создав для удобства Телеграм-бота. Всего попользоваться халявой успели свыше 300 продавцов. Вряд-ли сам айтишник получил заветные 654 млн, но на поездку в Грузию он точно насобирал. К слову, Ягодки все отрицают как обычно. Лучшая реклама айтишных курсов.",2023-05-11,exploitex
